"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andaman & Nicobar","Nicobars","2019-04-09","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-11","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-13","2019","04","0.516816873","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-01","2019","04","2.343551769","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-02","2019","04","1.921437299","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-03","2019","04","3.507711538","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-04","2019","04","15.22680118","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-05","2019","04","0.719979243","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-06","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-07","2019","04","0.283819468","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-08","2019","04","0.633747184","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-10","2019","04","10.6150855","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-12","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-14","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-15","2019","04","0.921361223","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-16","2019","04","0.47056268","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-17","2019","04","0.024961438","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-18","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-19","2019","04","0.020861145","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-20","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-21","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-22","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-23","2019","04","0.27878402","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-25","2019","04","2.083344958","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-26","2019","04","6.463394029","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-27","2019","04","17.77094364","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-24","2019","04","0.242061212","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-28","2019","04","2.327024707","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-29","2019","04","0.345935325","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2019-04-30","2019","04","23.6670764","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2019-04-06","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2019-04-14","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2019-04-28","2019","04","0.012330263","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2019-04-30","2019","04","24.13924863","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2019-04-01","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2019-04-02","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2019-04-03","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2019-04-04","2019","04","0.111488356","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2019-04-05","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2019-04-07","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2019-04-08","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2019-04-09","2019","04","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2019-04-10","2019","04","0.048217913","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2019-04-11","2019","04","0.189829121","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2019-04-12","2019","04","NA","NRSC VIC MODEL"
